Ticker,Date,Close
ACME-PHONE,1/2/2025 16:00:00,243.85
ACME-PHONE,1/3/2025 16:00:00,243.36
ACME-PHONE,1/6/2025 16:00:00,245
ACME-PHONE,1/7/2025 16:00:00,242.21
ACME-PHONE,1/8/2025 16:00:00,242.7
ACME-PHONE,1/10/2025 16:00:00,236.85
ACME-PHONE,1/13/2025 16:00:00,234.4
ACME-PHONE,1/14/2025 16:00:00,233.28
ACME-PHONE,1/15/2025 16:00:00,237.87
ACME-PHONE,1/16/2025 16:00:00,228.26
ACME-PHONE,1/17/2025 16:00:00,229.98
ACME-PHONE,1/21/2025 16:00:00,222.64
ACME-PHONE,1/22/2025 16:00:00,223.83
ACME-PHONE,1/23/2025 16:00:00,223.66
ACME-PHONE,1/24/2025 16:00:00,222.78
ACME-PHONE,1/27/2025 16:00:00,229.86
ACME-PHONE,1/28/2025 16:00:00,238.26
ACME-PHONE,1/29/2025 16:00:00,239.36
ACME-PHONE,1/30/2025 16:00:00,237.59
ACME-PHONE,1/31/2025 16:00:00,236
ACME-PHONE,2/3/2025 16:00:00,228.01
ACME-PHONE,2/4/2025 16:00:00,232.8
ACME-PHONE,2/5/2025 16:00:00,232.47
ACME-PHONE,2/6/2025 16:00:00,233.22
ACME-PHONE,2/7/2025 16:00:00,227.63
ACME-PHONE,2/10/2025 16:00:00,227.65
ACME-PHONE,2/11/2025 16:00:00,232.62
ACME-PHONE,2/12/2025 16:00:00,236.87
ACME-PHONE,2/13/2025 16:00:00,241.53
ACME-PHONE,2/14/2025 16:00:00,244.6
ACME-PHONE,2/18/2025 16:00:00,244.47
ACME-PHONE,2/19/2025 16:00:00,244.87
ACME-PHONE,2/20/2025 16:00:00,245.83
ACME-PHONE,2/21/2025 16:00:00,245.55
ACME-PHONE,2/24/2025 16:00:00,247.1
ACME-PHONE,2/25/2025 16:00:00,247.04
ACME-PHONE,2/26/2025 16:00:00,240.36
ACME-PHONE,2/27/2025 16:00:00,237.3
ACME-PHONE,2/28/2025 16:00:00,241.84
ACME-PHONE,3/3/2025 16:00:00,238.03
ACME-PHONE,3/4/2025 16:00:00,235.93
ACME-PHONE,3/5/2025 16:00:00,235.74
ACME-PHONE,3/6/2025 16:00:00,235.33
ACME-PHONE,3/7/2025 16:00:00,239.07
ACME-PHONE,3/10/2025 16:00:00,227.48
ACME-PHONE,3/11/2025 16:00:00,220.84
ACME-PHONE,3/12/2025 16:00:00,216.98
ACME-PHONE,3/13/2025 16:00:00,209.68
ACME-PHONE,3/14/2025 16:00:00,213.49
ACME-PHONE,3/17/2025 16:00:00,214
ACME-PHONE,3/18/2025 16:00:00,212.69
ACME-PHONE,3/19/2025 16:00:00,215.24
ACME-PHONE,3/20/2025 16:00:00,214.1
ACME-PHONE,3/21/2025 16:00:00,218.27
ACME-PHONE,3/24/2025 16:00:00,220.73
ACME-PHONE,3/25/2025 16:00:00,223.75
ACME-PHONE,3/26/2025 16:00:00,221.53
ACME-PHONE,3/27/2025 16:00:00,223.85
ACME-PHONE,3/28/2025 16:00:00,217.9
ACME-PHONE,3/31/2025 16:00:00,222.13
ACME-PHONE,4/1/2025 16:00:00,223.19
ACME-PHONE,4/2/2025 16:00:00,223.89
ACME-PHONE,4/3/2025 16:00:00,203.19
ACME-PHONE,4/4/2025 16:00:00,188.38
ACME-PHONE,4/7/2025 16:00:00,181.46
ACME-PHONE,4/8/2025 16:00:00,172.42
ACME-PHONE,4/9/2025 16:00:00,198.85
ACME-PHONE,4/10/2025 16:00:00,190.42
ACME-PHONE,4/11/2025 16:00:00,198.15
ACME-PHONE,4/14/2025 16:00:00,202.52
ACME-PHONE,4/15/2025 16:00:00,202.14
ACME-PHONE,4/16/2025 16:00:00,194.27
ACME-PHONE,4/17/2025 16:00:00,196.98
ACME-PHONE,4/21/2025 16:00:00,193.16
ACME-PHONE,4/22/2025 16:00:00,199.74
ACME-PHONE,4/23/2025 16:00:00,204.6
ACME-PHONE,4/24/2025 16:00:00,208.37
ACME-PHONE,4/25/2025 16:00:00,209.28
ACME-PHONE,4/28/2025 16:00:00,210.14
ACME-PHONE,4/29/2025 16:00:00,211.21
ACME-PHONE,4/30/2025 16:00:00,212.5
ACME-PHONE,5/1/2025 16:00:00,213.32
ACME-PHONE,5/2/2025 16:00:00,205.35
ACME-PHONE,5/5/2025 16:00:00,198.89
ACME-PHONE,5/6/2025 16:00:00,198.51
ACME-PHONE,5/7/2025 16:00:00,196.25
ACME-PHONE,5/8/2025 16:00:00,197.49
ACME-PHONE,5/9/2025 16:00:00,198.53
ACME-PHONE,5/12/2025 16:00:00,210.79
ACME-PHONE,5/13/2025 16:00:00,212.93
ACME-PHONE,5/14/2025 16:00:00,212.33
ACME-PHONE,5/15/2025 16:00:00,211.45
ACME-PHONE,5/16/2025 16:00:00,211.26
ACME-PHONE,5/19/2025 16:00:00,208.78
ACME-PHONE,5/20/2025 16:00:00,206.86
ACME-PHONE,5/21/2025 16:00:00,202.09
ACME-PHONE,5/22/2025 16:00:00,202.09
ACME-PHONE,5/23/2025 16:00:00,195.27
ACME-PHONE,5/27/2025 16:00:00,200.21
ACME-PHONE,5/28/2025 16:00:00,200.42
ACME-PHONE,5/29/2025 16:00:00,199.95
ACME-PHONE,5/30/2025 16:00:00,200.85
ACME-PHONE,6/2/2025 16:00:00,201.7
ACME-PHONE,6/3/2025 16:00:00,203.27
ACME-PHONE,6/4/2025 16:00:00,202.82
ACME-PHONE,6/5/2025 16:00:00,200.63
ACME-PHONE,6/6/2025 16:00:00,203.92
ACME-PHONE,6/9/2025 16:00:00,201.45
ACME-PHONE,6/10/2025 16:00:00,202.67
ACME-PHONE,6/11/2025 16:00:00,198.78
ACME-PHONE,6/12/2025 16:00:00,199.2
ACME-PHONE,6/13/2025 16:00:00,196.45
ACME-PHONE,6/16/2025 16:00:00,198.42
ACME-PHONE,6/17/2025 16:00:00,195.64
ACME-PHONE,6/18/2025 16:00:00,196.58
ACME-PHONE,6/20/2025 16:00:00,201
ACME-PHONE,6/23/2025 16:00:00,201.5
ACME-PHONE,6/24/2025 16:00:00,200.3
ACME-PHONE,6/25/2025 16:00:00,201.56
ACME-PHONE,6/26/2025 16:00:00,201
ACME-PHONE,6/27/2025 16:00:00,201.08
ACME-PHONE,6/30/2025 16:00:00,205.17
ACME-PHONE,7/1/2025 16:00:00,207.82
ACME-PHONE,7/2/2025 16:00:00,212.44
ACME-PHONE,7/3/2025 13:05:00,213.55
ACME-PHONE,7/7/2025 16:00:00,209.95
ACME-PHONE,7/8/2025 16:00:00,210.01
ACME-PHONE,7/9/2025 16:00:00,211.14
ACME-PHONE,7/10/2025 16:00:00,212.41
ACME-PHONE,7/11/2025 16:00:00,211.16
ACME-PHONE,7/14/2025 16:00:00,208.62
ACME-PHONE,7/15/2025 16:00:00,209.11
ACME-PHONE,7/16/2025 16:00:00,210.16
ACME-PHONE,7/17/2025 16:00:00,210.02
ACME-PHONE,7/18/2025 16:00:00,211.18
ACME-PHONE,7/21/2025 16:00:00,212.48
ACME-PHONE,7/22/2025 16:00:00,214.4
ACME-PHONE,7/23/2025 16:00:00,214.15
ACME-PHONE,7/24/2025 16:00:00,213.76
ACME-PHONE,7/25/2025 16:00:00,213.88
ACME-PHONE,7/28/2025 16:00:00,214.05
ACME-PHONE,7/29/2025 16:00:00,211.27
