Ticker,Date,Close
AAPL,1/2/2025 16:00:00,243.85
AAPL,1/3/2025 16:00:00,243.36
AAPL,1/6/2025 16:00:00,245
AAPL,1/7/2025 16:00:00,242.21
AAPL,1/8/2025 16:00:00,242.7
AAPL,1/10/2025 16:00:00,236.85
AAPL,1/13/2025 16:00:00,234.4
AAPL,1/14/2025 16:00:00,233.28
AAPL,1/15/2025 16:00:00,237.87
AAPL,1/16/2025 16:00:00,228.26
AAPL,1/17/2025 16:00:00,229.98
AAPL,1/21/2025 16:00:00,222.64
AAPL,1/22/2025 16:00:00,223.83
AAPL,1/23/2025 16:00:00,223.66
AAPL,1/24/2025 16:00:00,222.78
AAPL,1/27/2025 16:00:00,229.86
AAPL,1/28/2025 16:00:00,238.26
AAPL,1/29/2025 16:00:00,239.36
AAPL,1/30/2025 16:00:00,237.59
AAPL,1/31/2025 16:00:00,236
AAPL,2/3/2025 16:00:00,228.01
AAPL,2/4/2025 16:00:00,232.8
AAPL,2/5/2025 16:00:00,232.47
AAPL,2/6/2025 16:00:00,233.22
AAPL,2/7/2025 16:00:00,227.63
AAPL,2/10/2025 16:00:00,227.65
AAPL,2/11/2025 16:00:00,232.62
AAPL,2/12/2025 16:00:00,236.87
AAPL,2/13/2025 16:00:00,241.53
AAPL,2/14/2025 16:00:00,244.6
AAPL,2/18/2025 16:00:00,244.47
AAPL,2/19/2025 16:00:00,244.87
AAPL,2/20/2025 16:00:00,245.83
AAPL,2/21/2025 16:00:00,245.55
AAPL,2/24/2025 16:00:00,247.1
AAPL,2/25/2025 16:00:00,247.04
AAPL,2/26/2025 16:00:00,240.36
AAPL,2/27/2025 16:00:00,237.3
AAPL,2/28/2025 16:00:00,241.84
AAPL,3/3/2025 16:00:00,238.03
AAPL,3/4/2025 16:00:00,235.93
AAPL,3/5/2025 16:00:00,235.74
AAPL,3/6/2025 16:00:00,235.33
AAPL,3/7/2025 16:00:00,239.07
AAPL,3/10/2025 16:00:00,227.48
AAPL,3/11/2025 16:00:00,220.84
AAPL,3/12/2025 16:00:00,216.98
AAPL,3/13/2025 16:00:00,209.68
AAPL,3/14/2025 16:00:00,213.49
AAPL,3/17/2025 16:00:00,214
AAPL,3/18/2025 16:00:00,212.69
AAPL,3/19/2025 16:00:00,215.24
AAPL,3/20/2025 16:00:00,214.1
AAPL,3/21/2025 16:00:00,218.27
AAPL,3/24/2025 16:00:00,220.73
AAPL,3/25/2025 16:00:00,223.75
AAPL,3/26/2025 16:00:00,221.53
AAPL,3/27/2025 16:00:00,223.85
AAPL,3/28/2025 16:00:00,217.9
